model_size,minimum,median,maximum,allocations,memory_estimate
5,82.29813664596273,87.68115942028986,3018.840579710145,1,80
6,204.5,214.83333333333334,5510.166666666667,1,80
7,468.5279187817259,480.20304568527916,16342.639593908629,1,80
8,1020.0,1060.0,5610.0,1,80
9,2366.6666666666665,2433.3333333333335,7644.444444444444,1,80
10,4385.714285714285,4457.142857142857,11071.42857142857,1,80
11,8000.0,8150.0,17575.0,1,80
12,18100.0,18400.0,39600.0,1,80
13,48800.0,49300.0,81300.0,1,80
14,83900.0,84700.0,138400.0,1,80
15,151300.0,153500.0,205600.0,1,80
16,255200.0,257600.0,346100.0,1,80
17,429200.0,433300.0,581300.0,1,80
18,673100.0,679100.0,1.1808e6,1,80
19,1.1724e6,1.1821e6,1.6422e6,5,144
20,1.9617e6,1.9735e6,2.7634e6,5,144
