model_size,minimum,median,maximum,allocations,memory_estimate
5,81.1789038262668,86.55635987590486,2744.6742502585316,1,80
6,202.83333333333334,213.83333333333334,4509.166666666667,1,80
7,460.9137055837563,481.2182741116751,14838.578680203045,1,80
8,948.0,988.0,3100.0,1,80
9,2266.6666666666665,2333.3333333333335,6133.333333333333,1,80
10,4171.428571428572,4285.714285714285,9485.714285714286,1,80
11,7625.0,7850.0,20175.0,1,80
12,18700.0,19100.0,44000.0,1,80
13,48700.0,49200.0,98700.0,1,80
14,83900.0,84700.0,119600.0,1,80
15,143300.0,144700.0,199400.0,1,80
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
